Tokens,Sentiment_score,Sentiment_emotion,Part_of_speech
"['hey', 'football', 'headlines', '⚽', '️', 'thanks', 'for', 'the', 'follow', '!']",1,Joy,NOUN
"['very', 'creative', '😂']",1,Joy,ADJ
"['we', 'cannot', 'hold', 'a', 'torch', 'to', 'light', ""another's"", 'path', 'without', 'brightening', 'our', 'own', '.', '🔥']",1,Joy,NOUN
"['i', 'gotta', 'go', 'to', 'pearl', '😭']",-1,Sadness,VERB
"['taking', '6', 'classes', 'if', 'this', 'last', 'class', 'will', 'open', 'tf', 'up', '😑']",-1,Disgust,ADJ
"['first', 'exam', '✔', '️']",1,Joy,PUNCT
"['need', 'this', 'shirt', 'in', 'mens', '😂']",1,Joy,VERB
"['we', 'love', 'you', 'namjoonieee', '💓']",1,Love,NOUN
"['why', 'they', 'reppin', 'my', 'town', 'like', 'dis', '😩']",-1,Sadness,VERB
"['we', 'did', 'it', '👊', 'thanks', 'for', 'shaking', 'up', 'dubai', 'with', 'so', 'much', 'love', 'and', 'postive', 'energy', '!', 'congrats', 'to']",1,Joy,ADJ
"['pure', 'want', 'to', 'buy', 'a', 'house', ',', 'wish', 'i', 'was', 'rich', '🏡']",1,Joy,NOUN
"['this', 'is', 'so', 'true', '💕', 'alhamdulillah']",1,Love,ADJ
"['free', 'fuck', 'buddy', 'finder', 'service', 'near', 'you', '⏩']",0,Surprise,PUNCT
"[""here's"", 'some', 'from', 'carla', '👏']",1,Joy,ADJ
"['go', 'with', 'me', 'tomorrow', '😘']",1,Love,VERB
"['happy', 'birthdayyy', 'my', 'star', '💓', 'love', 'u', 'beyond', 'words', '...', 'hope', 'that', 'ur', 'new', 'year', 'will', 'be', 'filled', 'with', 'love', 'and', 'happ', '…']",1,Love,NOUN
"['[', 'trans', ']', 'winner', 'is', 'releasing', 'a', 'new', 'song', '.', 'please', 'listen', 'to', 'them', 'all', '💓', 'everyday', '!']",1,Love,NOUN
"['staaaaaaap', ',', 'don', '’', 't', 'talk', 'about', 'me', 'like', 'that', '😫']",-1,Sadness,ADJ
"['iloveyoumoreee', '✨']",1,Joy,NOUN
"['i', 'swear', 'if', 'someone', 'else', 'mentions', 'how', 'small', 'i', 'am', '...', 'i', '’', 'm', 'going', 'to', 'shoot', 'my', 'self', 'in', 'the', 'forehead', 'like', 'yo', 'stfu', '💀']",-1,Fear,VERB
"['we', 'are', 'groot', '😭']",-1,Sadness,VERB
"['absolutely', 'gutted', 'about', 'michy', 'batshuayi', 'leaving', 'chelsea', ',', 'but', 'borussia', 'dortmund', 'will', 'love', 'their', 'new', '""', 'batman', '""', '😂', '.', 'al', '…']",1,Joy,VERB
"['the', 'weeknd', '-', 'reminder', '🔂']",0,Surprise,NOUN
"['i', 'am', 'too', '!', 'actually', 'felt', 'ready', 'to', 'start', 'the', 'semester', 'this', 'time', '🤨']",-1,Disgust,ADJ
"['imagine', '😂', '.', 'she', 'must', 'sleep', 'there', 'by', 'mina']",1,Joy,VERB
"['rdj', 'is', 'the', 'definition', 'of', ""he's"", 'also', 'an', 'amazing', 'person', '!', '💙']",1,Love,ADJ
"['we', 'did', 'it', 'again', 'and', 'not', 'finished', 'yet', '.', 'next', 'season', 'a', 'movie', '🎥']",1,Joy,NOUN
"['i', 'need', 'jordan', ',', 'i', 'never', 'know', 'what', 'to', 'do', 'without', 'him', '😩']",-1,Sadness,VERB
"['keep', 'all', 'thoughts', '.', '😯']",0,Surprise,ADJ
"['another', 'medal', 'for', 'in', 'by', 'this', 'time', '💥', 'well', 'done', 'on', 'your', 'excellent', 'performanc', '…']",1,Joy,ADJ
"['real', 'account', '😊']",1,Joy,ADJ
"['reposting', 'ice', 'cold', 'beauty', '❄', '️']",0,Surprise,NOUN
"['‘', 'this', 'chocolate', 'syrup', 'represents', 'diversity', '’', 'kill', 'me', 'now', '💀']",-1,Fear,VERB
"['seriously', ',', 'this', 'might', 'be', 'one', 'of', 'my', 'favorite', 'looks', 'of', 'hers', '!', '!', '😍']",1,Love,ADJ
"['lucien', 'is', 'a', 'big', 'mush-face', 'with', 'an', 'even', 'bigger', '❤', '️', 'he', '’', 's', 'a', 'volunteer', 'fave', 'for', 'his', 'goofy', 'antics', '&', 'enthusiasm', 'for', 'life', '.', 'but', 'ken', '…']",1,Love,NOUN
"['180312', '(', 'mon', ')', '[', 'etc', ']', '모챙', 'tv2', 'ep', '.', '01', '*', 'once', '*', 'pre-order', 'starts', '👉', 'twice', 'photobook', '“', '둡또카', '”', 'photo', 'by', 'da', '…']",0,Surprise,ADP
"['note', '8', 'k', 'bad', '😋']",1,Joy,ADJ
"['1', ')', 'fantastic', 'pule', 'bomb', '.', 'i', 'love', 'it', 'when', 'stuff', 'like', 'that', 'happens', '!', '😍', '2', ')', 'as', 'a', 'character', 'i', 'love', 'tracer', '…']",1,Love,ADJ
"['😘', 'her', '…']",1,Love,ADJ
"['a', 'couple', 'of', 'weeks', '?', '!', 'how', 'dare', 'you', 'torture', 'us', 'like', 'that', '!', '!', '!', '😉']",1,Joy,ADJ
"['be', 'yourself', '❤', '️']",1,Love,VERB
"['i', 'never', 'dislike', 'a', 'female', 'it', '’', 's', 'always', 'the', 'opposite', 'way', 'around', '😩']",-1,Sadness,VERB
"['pay', 'off', 'my', 'debt', 'and', 'get', 'wheels', '🚗']",1,Joy,NOUN
"['staying', 'out', 'partying', 'every', 'night', 'is', 'definenantly', 'something', 'you', 'gotta', 'be', 'built', 'for', 'i', '’', 'm', '2', 'days', 'in', 'and', 'wore', 'tf', 'out', '!', 'only', 'cause', 'my', 'bestie', 'here', '😫']",-1,Sadness,ADJ
"['lovely', 'being', 'interviewed', 'by', 'for', 'about', 'writing', 'and', 'my', 'many', 'obsessive', 'behaviors', '🤓', '…']",1,Joy,ADJ
"['lord', 'lemme', 'survive', 'this', 'week', 'pls', '?', '🙏']",-1,Fear,VERB
"['not', 'your', 'typical', 'beach', 'girl', 'but', '🌊']",0,Surprise,NOUN
"['yeti', 'coolers', 'caved', 'to', 'the', 'left', 'and', 'cut', 'ties', 'with', 'the', 'now', 'americans', 'are', 'cutting', 'their', 'ties', 'to', 'yeti', 'with', 'a', '👉']",0,Surprise,ADP
"['thank', 'you', 'for', 'the', 'vote', 'of', 'confidence', 'my', 'sweet', 'heather', '😘', 'everyone', 'said', 'it', 'was', 'delicious', '!', '!']",1,Love,NOUN
"['why', 'my', 'job', 'playing', 'young', 'thug', '😭', 'what', 'the', 'brazilians', 'know', 'about', 'this']",-1,Sadness,VERB
"['follow', 'everyone', 'who', 'likes', 'this', 'tweet', '.', '🎾']",0,Surprise,NOUN
"['msm', 'preaching', 'wait', 'until', 'the', 'memo', 'is', 'released', '😂', ""doesn't"", 'know', 'been', 'bleeding', 'that', 'donkey', 'full', '…']",1,Joy,VERB
"['took', 'three', 'naps', 'today', '😌']",1,Joy,ADJ
"['shawn', 'in', 'for', 'pre-grammys', 'gala', 'is', 'illegally', 'beautiful', '🤩', '…']",1,Joy,ADJ
"['🙌', 'yasss', ""it's"", 'time', 'for', 'a', 'great', 'show', 'honeeyb', '1', ':', 'gooooodmoannning']",1,Joy,ADJ
"['i', '’', 'm', 'three', 'days', 'late', 'to', 'this', 'tweet', ',', 'but', 'my', 'heart', '💙']",1,Love,NOUN
"['""', 'successful', 'people', 'are', 'just', 'those', 'with', 'successful', 'habits', '""', '🚨', 'army', ""don't"", 'let', 'your', 'guard', 'down', '!', '!', ""let's"", 'continue', 'to', 'widen', 'the', '…']",-1,Fear,ADJ
"['leave', 'the', 'past', 'behind', 'me', ',', 'today', 'my', 'life', 'begins', '🎶']",1,Joy,NOUN
"['🙌', 'yasss', ""it's"", 'time', 'for', 'a', 'great', 'show', 'amandinha', 'lopes', ':']",1,Joy,ADJ
"['rare', 'unseen', 'pic', 'wit', 'her', 'sister', '😀', 'sisters']",1,Joy,NOUN
"['they', 'exist', '😂', '?', '?']",1,Joy,VERB
"['i', 'ask', 'her', 'how', 'much', 'she', 'love', 'me', 'she', 'say', 'baby', 'it', '’', 's', 'crucial', '☺', '️']",1,Love,ADJ
"['coming', 'soon', '🎥', ':']",0,Surprise,NOUN
"['this', 'cracks', 'me', 'up', '!', '!', '!', 'play', 'it', 'with', 'the', 'sound', '.', '😂']",1,Joy,VERB
"['that', '’', 's', 'amazing', '!', 'keep', 'up', 'the', 'good', 'work', 'crow', '☺', '️']",1,Joy,ADJ
"['he', 'frustrated', '🗣']",-1,Anger,NOUN
"['charlie', 'puth', '-', 'done', 'for', 'me', '(', 'feat', '.', 'kehlani', ')', '[', 'official', 'audio', ']', 'via', 'talentfull', '🙃']",-1,Fear,ADJ
"['and', ""it's"", 'being', 'released', 'on', 'friday', '!', '😁']",1,Joy,VERB
"['facts', '😎']",1,Joy,ADJ
"['“', 'rewrite', 'the', 'stars', '”', 'chulada', 'de', 'soundtrack', '😍']",1,Love,NOUN
"['also', '!', 'obviously', 'that', ""won't"", 'be', 'it', 'for', 'us', 'for', 'the', 'rest', 'of', 'the', 'year', '!', ""we'll"", 'see', 'you', 'all', 'on', 'saturday', '!', '🤗']",1,Joy,VERB
"['not', 'many', ',', 'but', 'plenty', 'of', '😂']",1,Joy,VERB
"['""', 'any', 'model', 'who', 'pegs', 'herself', 'a', '‘', 'true', 'value', 'adriana', 'lima', '’', 'is', 'our', 'kind', 'of', 'girl', '.', '”', '📸', ':', 'jasmine', 'alleva', 'by', 'ben', 'tsui', '…']",1,Joy,NOUN
"[""she's"", 'flirting', 'with', 'everyone', 'on', 'her', 'following', '😔']",-1,sadness,ADJ
"['lol', 'i', 'did', 'too', '😂']",1,Joy,VERB
"['this', 'dog', 'is', 'cooler', 'than', 'i', 'am', '🐶']",1,Joy,NOUN
"['🇵🇱', 'inside', 'the', 'poland', 'dressing', 'room', '...', 'key', 'player', '?', '💪']",1,Joy,ADJ
"['happy', 'sunday', '!', 'cheered', 'me', 'up', 'no', 'end', '!', 'thank', 'you', 'for', 'sharing', 'with', 'me', 'my', 'love', '❤', 'xxxx']",1,Love,NOUN
"['i', '’', 've', 'been', 'listening', 'to', 'the', 'youtube', 'version', 'since', 'the', 'gig', '.', 'i', 'can', '’', 't', 'wait', '!', '!', '!', '❤', '️']",1,Love,VERB
"['i', 'told', 'my', 'manager', 'wasuhhh', 'trick', 'ass', 'bitch', '&', 'he', 'replied', 'don', '’', 't', 'start', 'with', 'me', 'trick', '😭']",-1,Sadness,VERB
"['we', 'all', 'need', 'this', 'pic', 'of', 'jesy', 'in', 'our', 'lives', '❣', '️', 'lm', 'hq', 'x']",1,Love,NOUN
"['no', 'it', 'just', 'so', 'happens', 'to', 'be', 'our', 'song', '💕']",1,Love,NOUN
"['we', '’', 'll', 'see', '😎', '.']",1,Joy,ADJ
"['if', 'youne', 'making', 'ah', 'effort', 'to', 'show', 'me', 'then', 'ine', 'paying', 'you', 'no', 'mind', '💯']",1,Joy,ADJ
"['is', 'that', 'supposed', 'to', 'be', 'a', 'compliment', '😌']",0,Surprise,ADJ
"['lmfao', 'shirley', 'go', 'head', 'yea', '😂']",1,Joy,VERB
"['nothing', 'like', 'a', 'good', 'panic', 'attack', 'to', 'end', 'a', 'monday', '🙃']",-1,Fear,ADJ
"['goodmorning', 'ppl', '✨']",1,Joy,ADJ
"['what', '?', 'you', 'want', 'another', 'reality', 'show', '?', '😝']",1,Joy,ADJ
"['i', 'love', 'choice', 'music', '😊']",1,Joy,ADJ
"['just', 'finished', 'watching', 'this', 'clip', 'omg', '😮', '…']",0,Surprise,ADJ
"['some', 'tweets', 'are', 'not', 'even', 'showing', 'up', '?', 'welp', '🙃']",-1,Fear,ADJ
"['happy', 'birthday', 'to', 'kim', 'yerim', ',', 'i', 'love', 'you', 'very', 'much', '♥']",1,Love,NOUN
"['stopped', 'hitting', 'mfs', 'up', 'first', 'now', 'look', 'who', 'texting', 'me', '😂', 'nobodyyyy', 'babyyyy']",1,Joy,VERB
"['shoot', 'ya', 'shot', ',', 'nobody', 'on', 'court', 'rn', '&', 'if', 'ya', 'miss', 'come', 'back', 'for', 'ya', 'lay', 'up', '😏']",1,Joy,ADJ
"['i', 'most', 'def', 'will', 'be', 'at', 'the', 'chum', 'bucket', '😂']",1,Joy,VERB
"['congrats', 'bae', '😘']",1,Love,NOUN
"['i', 'suffer', 'from', 'this', 'condition', 'called', ';', 'all', 'my', 'pants', 'are', 'too', 'tight', 'on', 'my', 'thighs', 'and', 'fall', 'off', 'my', 'hips', '😑']",-1,Disgust,ADJ
"['proud', 'to', 'be', 'an', 'indian', '..', '👍']",1,Joy,ADJ
"['all', 'the', 'best', 'ma', '❤', '️']",1,Love,NOUN
"['😄', 'stuck', 'apple', 'pie', 'on', 'instead', '..', 'it', '’', 's', 'disappearance', 'is', 'likely', 'to', 'be', 'in', 'sync', 'with', 'our', '2nd', 'half', 'performance']",1,Joy,ADJ
"['i', 'love', 'being', 'called', 'baby', '😅']",1,Joy,ADJ
"['i', 'just', 'really', 'love', 'bruno', '.', '😭']",-1,Sadness,VERB
"['this', ""feeling's"", 'so', 'alien', '👽', 'x', '--->']",-1,Fear,NOUN
"['woods', 'should', 'be', 'concerned', 'with', 'his', 'dead', 'ass', 'career', '.', '😂']",1,Joy,VERB
"['locked', 'in', '🚨']",-1,fear,ADJ
"['let', 'me', 'just', 'put', 'this', 'here', '.', '👊']",1,Joy,VERB
"['sungwoon', 'driving', 'mini', 'cooper', '..', 'my', 'dream', 'car', '😨']",-1,Fear,ADJ
"['i', 'can', '’', 't', 'wait', 'to', 'show', 'mfs', 'better', 'than', 'i', 'can', 'tell', 'them', '💯']",1,Joy,ADJ
"['kirb', 'x', 'suicide', 'boys', '?', '🤑']",1,Joy,ADJ
"['this', 'day', 'and', 'week', '.', '🏆']",1,Joy,NOUN
"['junmyeon', 'have', 'one', 'remember', '👀']",0,Surprise,VERB
"['when', 'you', 'know', 'better', ',', 'you', 'do', 'better', '😉']",1,Joy,ADJ
"['blackcat', 'singing', 'in', 'the', 'dead', 'of', 'night', '🎶']",1,Joy,NOUN
"['it', 'felt', 'like', 'the', 'world', 'stopped', 'spinning', 'for', 'me', '3', 'days', 'ago', 'while', 'i', 'scrolled', 'down', 'my', 'timeline', 'on', 'facebook', '😭']",-1,Sadness,VERB
"['💔', '“', 'him', ':', 'i', '’', 'm', 'on', 'my', 'way', '.', '”', 'releases', 'tonight', 'stay', 'tuned']",-1,sadness,NOUN
"['doyoung', 'the', 'best', '❤', '️']",1,Love,VERB
"['great', 'spot', 'to', 'the', 'guys', '!', 'not', 'acceptable', 'behaviour', 'in', 'york', '❌']",-1,Anger,ADJ
"['haha', ',', 'you', 'can', 'do', 'it', 'too', '!', 'maybe', 'who', 'set', 'ours', 'up', 'can', 'have', 'a', 'talk', 'at', '😉']",1,Joy,ADJ
"['25', 'realtime', 'allkills', '6', 'perfect', 'allkills', '&', 'counting', '+', '+', 'have', 'put', 'them', 'in', 'folders', 'just', 'in', 'case', '.', '😉']",1,Joy,ADJ
"['because', ""we're"", 'friends', '😂']",1,Joy,VERB
"['can', 'i', 'have', 'the', 'link', 'anyone', '?', '😍']",1,Love,VERB
"['must', '...', 'eat', '...', 'bread', '...', 'and', '...', 'drink', '...', 'milk', '...', 'to', '...', 'survive', '...', 'the', '...', 'bomb', '...', 'cyclone', '...', '😳', 'htt', '…']",-1,Fear,ADJ
"['i', 'really', 'like', 'this', 'filter', '💋']",1,Love,NOUN
"['now', 'all', 'chilpa', ',', 'vikas', '&', 'luv', 'fans', 'can', 'burn', '!', 'neha', 'loves', 'priyank', '&', 'karan', 'johar', 'invited', 'him', 'to', 'his', 'party', '😎']",1,Joy,ADJ
"['✅', 'firstcapital', 'bank', 'of', 'texas', 'employees', 'are', 'receiving', 'bonuses', 'as', 'well', 'as', 'a', 'direct', 'result', 'of']",1,Joy,ADJ
"['i', 'know', 'that', 'through', 'it', 'all', ',', 'you', 'are', 'greater', '🔥']",1,Joy,NOUN
"['🔥', 'we', 'the', 'people', 'do', 'not', 'agree', 'with', 'this', 'omnibus', '.', 'listen', 'to', 'before', 'you', 'sign', '!', 'do', 'not', 'fun', '…']",-1,Anger,NOUN
"['imma', 'be', 'appreciated', 'one', 'day', '😂', 'ion', 'know', 'when', 'but', ""it's"", 'coming', 'soon']",1,Joy,VERB
"['good', 'god', '😂']",1,Joy,VERB
"['june', 'reports', 'that', 'breitbarf', '(', '😂', ')', 'has', 'lost', '90', '%', 'of', 'its', 'adver', '…']",1,Joy,VERB
"['don', '’', 't', 'forget', 'to', 'tell', 'they', 'think', 'isn', '’', 't', 'having', 'an', 'impact', '.', 'we', '’', 'll', 'not', 'rub', 'it', 'in', '(', 'too', 'much', '🤔', ')', '…']",-1,disgust,ADJ
"['my', 'back', 'has', 'been', 'hurting', 'since', 'tuesday', '😭']",-1,Sadness,VERB
"['office', '😎']",1,Joy,NOUN
"['hump', 'days', 'love', 'and', '❤', '️']",1,Love,NOUN
"['thought', 'you', 'were', 'describing', 'trump', 'there', 'for', 'a', 'minute', '🤣']",1,Joy,VERB
"['peek-a-boo', '👀']",0,Surprise,VERB
"['boom', '!', 'here', 'is', 'this', ""year's"", 'exclusive', 'sponsor', 't-shirt', '!', '💚', 'you', 'can', 'upgrade', 'your', 'sponsorship', 'now', 'to', 'secure', 'one', 'for', 'yourself', '!', '…']",1,Joy,ADJ
"['me', '🎮', 'irl']",1,Joy,NOUN
"['🔥', 'double', 'dipping', '...']",1,Joy,ADJ
"[""tonight's"", 'video', ':', 'top', '10', 'scotland', 'faq', '!', 'includes', 'where', 'to', 'visit', ',', 'meeting', 'up', '+', 'starter', 'hill', 'walks', '😃', '-']",1,Joy,ADJ
"['i', 'need', 'something', ',', 'anything', 'right', 'now', '😭']",-1,Sadness,VERB
"['i', 'love', 'uuuuu', 'baby', '💍']",1,Love,NOUN
"['i', 'hate', 'how', 'i', '’', 'm', 'about', 'to', 'have', 'to', 'act', '😩']",-1,Sadness,VERB
"['wiz', 'is', 'at', 'knotts', '😭', 'why', 'am', 'i', 'not', 'there']",-1,Sadness,VERB
"['i', 'mean', 'did', 'you', 'see', 'me', 'shitting', 'on', 'you', 'guys', '?', 'or', 'were', 'you', 'playing', 'with', 'ur', 'eyes', 'closed', '🤡']",-1,Disgust,ADJ
"['have', 'a', 'happy', 'valentines', 'and', 'a', 'solemn', 'ash', 'wednesday', '✨']",1,Joy,NOUN
"['i', 'just', 'want', 'to', 'say', 'congratulations', 'for', 'both', 'men', 'and', ""women's"", 'volleyball', 'team', 'of', 'c', 'raymundo', 'for', 'winning', '😭', 'and', 'also', 'having', '…']",-1,Sadness,VERB
"['red', 'virtual', 'keyboard', '😎']",1,Joy,ADJ
"['watch', 'on', 'let', 'me', 'petty', '❤', '️']",1,Love,VERB
"['loving', 'the', 'earth', 'token', 'is', 'like', 'loving', 'our', 'mother', 'earth', '🌎']",1,Love,NOUN
"['watch', 'me', 'be', 'stressed', 'about', 'this', 'for', 'a', 'week', 'now', '😭']",-1,Sadness,VERB
"['thanks', 'lukey', ',', 'from', 'me', 'and', 'my', 'fucked', 'up', 'toe', '❤', '️']",1,Love,NOUN
"['von', 'me', '?', 'i', '’', 'm', 'not', 'even', 'mad', 'you', 'know', 'i', 'be', 'chilling', '😂', '&', 'they', 'good', 'they', 'laying', 'right', 'here', 'ft', 'him', '!']",1,Joy,VERB
"['ogier', ':', '📺', 'rocket', 'man', '!', 'off', 'the', 'start', 'line', 'on', 'shakedown', 'for', 'rallye', 'monte-carlo', '2018', 'today', '🇲🇨']",1,Joy,NOUN
"['snowed', 'in', 'with', 'a', '.', '7', '💔']",-1,Sadness,NOUN
"['another', 'hypocrite', 'that', 'was', '‘', 'banging', 'on', 'for', '15', 'years', '’', 'to', 'stop', 'this', 'but', 'was', 'in', 'fhm', '😂']",1,Joy,VERB
"['already', 'sent', 'pics', 'to', '5', '😍', 'keep', 'them', 'coming', 'daddy']",1,Love,ADJ
"['i', 'should', 'be', 'with', 'jada', '💔']",-1,Sadness,NOUN
"['friends', 'of', 'moussa', 'dembele', 'shoulder', 'drop', 'fc', '🙏']",-1,Anger,VERB
"['he', ""should've"", 'said', '""', 'gaga', 'million', '""', '😃']",1,Joy,VERB
"['need', 'to', 'start', 'planning', 'my', '21st', '🙂']",1,Joy,ADJ
"['calling', 'queen', 'now', '😭']",-1,Sadness,VERB
"['beautiful', 'cathedral', 'in', 'the', 'chilly', 'sunshine', 'today', '!', '😊']",1,Joy,ADJ
"['eunwoo', 'dancing', 'to', 'clap', '😂']",1,Joy,VERB
"['whoever', 'my', 'husband', 'is', 'he', 'lucky', '🤪']",1,Joy,VERB
"['teddy', 'bear', 'teddy', 'bear', 'how', 'are', 'you', '🎼', '...']",1,Joy,NOUN
"['mtchew', '..', 'i', 'taya', '.', 'by', 'now', 'efe', 'wld', 'av', 'stolen', 'd', ""igwe's"", 'crown', '.', '😃', 'i', 'was', 'entertained', '!']",1,Joy,ADJ
"['so', 'like', '...', 'why', 'tf', 'you', 'tryna', 'die', '?', '🙂']",0,Surprise,ADJ
"['had', 'to', 'join', 'before', 'i', 'clock', 'in', '😘']",1,Love,VERB
"['oooh', 'a', 'foot', 'fetish', '~', 'i', 'hope', 'she', 'charged', 'extra', '😉', 'x', 'x']",1,Joy,ADJ
"['lmfaoooo', '😉']",1,Joy,ADJ
"['very', 'good', '🌝']",1,Joy,ADJ
"['kard', 'is', 'currently', 'ranked', '🏆', '2', 'in', 'the', 'rookie', 'of', 'the', 'year', 'category', '(', 'based', 'on', 'web', 'votes', 'only', ')']",1,Joy,NOUN
"['if', 'you', '’', 're', 'ordering', 'anything', 'delivery', 'rn', 'you', 'better', 'be', 'tipping', 'like', 'you', 'have', 'some', 'sense', '.', '🙃']",-1,Disgust,ADJ
"['perhaps', '😜', 'you', 'can', '’', 't', 'keep', 'us', 'apart', 'for', 'too', 'long', '.', 'we', 'are', 'sort', 'of', 'obsessed', '.']",1,Joy,VERB
"['i', 'usually', 'get', 'one', 'to', 'go', 'with', 'my', 'meal', '😂']",1,Joy,VERB
"['is', 'on', 'today', '💃', 'pop', 'to', 'steinbeck', 'for', 'delicious', 'cocktails', '-', '50', '%', 'off', 'between', '5pm', '&', '10pm', '…']",1,Joy,VERB
"['‼', '️we', 'must', 'lead', 'by', 'example', 'making', 'it', 'illegal', 'meat', '4', 'human', 'consumption', 'in', 'the', '🇺🇸', 'pls', 'cosponsor', 't', '…']",-1,Anger,PUNCT
"['he', 'said', '“', 'scoring', 'pg', '”', 'i', '’', 'm', 'just', 'giving', 'the', 'example', 'that', 'all', 'scoring', 'pg', '’', 's', 'are', 'not', 'bad', 'bud', '🙄', 'whatever', 'a', 'bud', 'is', '..']",-1,Disgust,ADJ
"['deadass', 'thinking', 'they', 'cute', 'bitch', 'that', '’', 's', 'for', 'your', 'kids', '😒']",-1,Disgust,ADJ
"['wow', '!', '!', '!', 'hit', 'the', 'galleria', 'and', 'don', '’', 't', 'look', 'back', ',', 'baby', '!', '!', '!', '🤣']",1,Joy,VERB
"['just', 'got', 'home', 'and', 'i', '’', 'm', 'not', 'sleepy', 'anymore', '🙄']",-1,Disgust,ADJ
"['rarely', 'you', 'get', 'to', 'present', 'a', 'lotus', '🌷', 'to', 'who', 'has', 'immortalised', 'on-screen', '.', 'a', 'moment', 'which', 'will', 'be', '…']",1,Love,NOUN
"['whaa', 'cute', '💓']",1,Love,NOUN
"['how', 'are', 'you', 'r', '?', 'love', 'you', '💜']",1,Love,ADJ
"['niggas', '🙄']",-1,Disgust,ADJ
"['hwannie', 'and', 'his', 'moves', '.', '😂']",1,Joy,VERB
"['proud', 'to', 'be', 'ajith', 'fan', '🙏']",1,Joy,VERB
"['thinking', 'about', 'cuddling', 'tonight', '🙃']",0,Surprise,ADJ
"['dont', 'ask', 'me', 'about', 'no', 'bitch', 'you', 'dont', 'see', 'me', 'w', '😂']",1,Joy,VERB
"['did', 'mlk', 'kneel', 'during', 'anthem', '?', 'anyone', 'comparing', 'him', 'to', 'mlk', 'is', 'a', 'fool', '.', '🙄']",-1,Disgust,ADJ
"['🎧', 'while', 'doing', 'dis', 'spits']",1,Joy,NOUN
"['it', '’', 's', 'kind', 'of', 'a', 'big', 'deal', 'cause', 'it', '’', 's', 'literally', 'on', 'the', 'far', 'end', 'side', 'of', 'town', '😅']",0,Surprise,ADJ
"['i', 'was', 'waiting', 'until', 'new', 'year', '’', 's', 'to', 'tweet', 'this', '💀']",-1,Fear,VERB
"['already', 'working', 'out', 'schedules', ',', 'our', 'offspring', 'will', 'have', 'prepared', 'parents', '😂']",1,Joy,VERB
"['sehun', 'invented', 'the', 'color', 'pink', '💞']",1,Love,NOUN
"['🍑', '-', 'hiii', '!', '!', 'we', 'never', 'really', 'talked', 'but', 'u', 'already', 'slay', 'my', 'existence', 'cos', 'u', 'seem', 'so', 'fucking', 'cool', '.', 'ur', 'love', 'for', 'luke', 'is', 'so', '…']",1,Love,NOUN
"['exactly', '!', '!', '!', 'i', 'blame', 'the', 'cold', 'winter', 'nights', '😭']",-1,Sadness,VERB
"['i', 'like', 'your', 'channel', ',', 'we', 'should', 'do', 'sub', 'for', 'sub', ',', 'reply', 'if', 'you', 'are', 'interested', '!', '!', '😊', '...']",1,Joy,ADJ
"['when', 'you', 'made', 'a', '🔥', 'mix', 'cd', 'but', 'forgot', 'to', 'add', 'a', 'song', 'so', 'you', 'gotta', 'make', 'a', 'new', 'one']",-1,Anger,NOUN
"['well', 'i️m', 'going', 'to', 'vegas', 'in', 'friday', 'so', 'whatever', '.', '🙄']",-1,Disgust,ADJ
"['yoooooo', '😭', 'whoever', 'made', 'this', 'i', 'swear', 'to', 'god']",-1,Sadness,VERB
"['special', 'affair', 'by', 'the', 'internet', '❤']",1,Love,NOUN
"['fuck', 'knows', '😂']",1,Joy,VERB
"['keep', 'calm', 'and', 'watch', 'jake', 'paul', '🐶']",1,Joy,NOUN
"['clicking', 'through', 'the', 'to', 'activate', 'my', 'bundle', 'for', 'today', '🤗']",1,Joy,VERB
"['when', 'i', 'met', 'you', 'for', 'the', 'first', 'time', ',', 'i', 'forgot', 'to', 'breathe', '.', '🤭']",1,Joy,ADJ
"['if', 'you', '’', 've', 'been', 'crying', 'yourself', 'to', 'sleep', ',', 'remember', 'you', 'aren', '’', 't', 'alone', '💜']",1,Love,ADJ
"['ooooo', 'you', 'gave', 'us', 'our', 'own', 'hashtag', '.', 'it', '’', 's', 'lit', '🔥']",1,Joy,ADJ
"['but', 'but', 'but', 'sometimes', ""it's"", 'right', '😐']",0,Surprise,ADJ
"['a', 'color', 'looks', 'so', 'natural', 'and', 'goes', 'with', 'everything', '😍', 'we', 'love', 'pink']",1,Love,ADJ
"['thanks', 'yaa', '😁', ',', 'miss', 'you', 'too', ':(']",1,Joy,VERB
"['📸', '|', 'sebastian', 'at', 'the', 'infinity', 'war', 'premiere', '!']",1,Joy,NOUN
"['today', 'is', 'my', '600', 'days', 'with', 'vernon', '❤', '️']",1,Love,VERB
"['""', 'you', 'make', 'it', 'easy', '.', '""', '💙']",1,Love,NOUN
"['russia', 'will', 'conduct', 'its', 'presidential', 'elections', 'by', 'using', 'the', 'blockchain', '⛏', '️', '→', '…']",0,Surprise,PUNCT
"['this', 'group', 'chat', 'made', 'my', 'day', '😂']",1,Joy,VERB
"['exciting', 'news', '!', '🎉', 'you', 'can', 'now', 'schedule', 'directly', 'to', 'instagram', 'with', 'buffer', '!', 'we', '’', 're', 'excited', 'to', 'roll', 'this', 'out', 'to', 'all', 'customers', ',', 'all', 'p', '…']",1,Joy,ADJ
"['i', 'love', 'you', 'guys', 'so', 'much', '.', 'seriously', '💜']",1,Love,ADJ
"['oh', 'okay', '.', 'i', 'agree', '.', '😊']",1,Joy,ADJ
